,AIMP,Amazing,APEPlayer,Audio_Wizard,AVSMediaPlayer,BBox,boom-1-0-21,BugsPlayer4,byul2,CircularMediaPlayer,cometplayer,DeliPlayer,Dev Player,foobar2000,Free PC Audio Recorder,FreeAMRPlayer,FrostWire,geniemusicmonitor,Goma,Groovy Media Player,jajuk,JetAudio,Juice,karaoke,KMPlayer,lc_player,Mac Blu-ray Player,mavenplayer,Melon,mpc-hc,mufin_player,Musican,mxplayweb,NemesisPlayer,nemp,OooPlayer,PetrusSMP,psymp3,pulpTunes,QQPlayer,Remote-Player,rtlrack,S4BAnyAudioGrabber,songbird,Spotify,syncPlayer,VUPlayer,Xion,Yamb,zplayer
0,@System@initialization$qqrv,SetupDiGetClassDevsW,SysFreeString,SHGetFolderPathA,AdjustTokenPrivileges,SysFreeString,StrCmpLogicalW,ReleaseSemaphore,GetFileVersionInfoSizeA,??0QSvgRenderer@@QAE@PAVQObject@@@Z,GlobalSize,_strnicmp,MessageBoxW,ImageList_ReplaceIcon,GetACP,SHDeleteKeyW,GetLastError,__CxxFrameHandler3,UuidToStringW,InternetCloseHandle,RegCloseKey,?GetWidth@CxImage@@QBEKXZ,GetFocus,mixerGetNumDevs,FMOD_Channel_GetPaused,waveOutClose,RegCloseKey,mmioGetInfo,rsaCreateKeyPair,GdipCreateBitmapFromFile,?FreeASPI@@YAHXZ,SysFreeString,GetCurrentThreadId,DeleteCriticalSection,timeGetTime,SysFreeString,CloseHandle,GetOpenFileNameA,GetVersion,LockResource,GetQueuedCompletionStatus,mixerGetControlDetailsA,AdjustTokenPrivileges,FreeLibrary,GdipDrawString,AddAtomA,InternetGetConnectedState,UrlIsW,DeleteCriticalSection,DeleteCriticalSection
1,@System@Finalization$qqrv,SetupDiEnumDeviceInterfaces,SysReAllocStringLen,PathCompactPathA,GetCurrentHwProfileA,SysReAllocStringLen,SHAutoComplete,InitializeSListHead,GetFileVersionInfoA,?load@QSvgRenderer@@QAE_NABVQString@@@Z,CopyFileW,_strdup,AllowSetForegroundWindow,ImageList_Add,GetOEMCP,libvlc_audio_get_mute,SetLastError,_CxxThrowException,RpcStringFreeW,InternetOpenUrlA,RegEnumKeyExA,?Draw@CxImage@@QAEJPAUHDC__@@ABUtagRECT@@PAU3@_N@Z,MessageBoxA,mixerGetDevCapsA,FMOD_Channel_GetPosition,waveOutPrepareHeader,RegOpenKeyExW,timeEndPeriod,rsaReleaseCipher,GdipGetImagePixelFormat,?LoadASPI@@YAHXZ,SysReAllocStringLen,VirtualFree,LeaveCriticalSection,timeSetEvent,SysReAllocStringLen,CreateSemaphoreA,_FSOUND_DSP_GetFFTUnit@0,HeapFree,FreeLibrary,VerSetConditionMask,mixerGetLineControlsA,GetCurrentHwProfileA,GetProcAddress,GdipCreateHICONFromBitmap,CreateSemaphoreA,BASS_StreamCreateFile,UrlGetPartW,LeaveCriticalSection,LeaveCriticalSection
2,@System@TGUID@_op_Inequality$qqrrx5_GUIDt1,SetupDiGetDeviceInterfaceDetailW,SysAllocStringLen,ShellExecuteA,LookupPrivilegeValueA,SysAllocStringLen,SetWindowTheme,UnregisterWaitEx,VerQueryValueA,??1QSvgRenderer@@UAE@XZ,MultiByteToWideChar,_EH_prolog,CommandLineToArgvW,ImageList_Create,IsValidCodePage,libvlc_audio_get_volume,FreeLibrary,memcpy,UuidCreate,InternetSetOptionA,RegOpenKeyExA,?Load@CxImage@@QAE_NPB_WK@Z,__p__fmode,mixerSetControlDetails,FMOD_Channel_GetSpectrum,waveOutUnprepareHeader,RegSetValueExW,mmioClose,rsaCreateCipher,GdipGetImageHeight,??0CMapDrive@@QAE@H@Z,SysAllocStringLen,GetCommandLineW,EnterCriticalSection,LresultFromObject,SysAllocStringLen,DeleteCriticalSection,_FSOUND_DSP_GetSpectrum@0,GetProcessHeap,GetProcAddress,InterlockedDecrement,mixerClose,LookupPrivilegeValueA,GetLastError,GdipDeleteFontFamily,ExitProcess,BASS_MusicFree,StrStrIA,EnterCriticalSection,EnterCriticalSection
3,@System@TGUID@_op_Equality$qqrrx5_GUIDt1,SetupDiDestroyDeviceInfoList,RegQueryValueExW,SHGetFileInfoA,OpenProcessToken,RegQueryValueExW,DrawThemeBackground,VirtualFree,InternetCanonicalizeUrlA,?render@QSvgRenderer@@QAEXPAVQPainter@@ABVQRectF@@@Z,SetThreadPriority,malloc,?_Xbad_alloc@std@@YAXXZ,ImageList_Destroy,LCMapStringW,libvlc_audio_set_mute,GetModuleHandleA,strerror,ChooseColorW,InternetOpenA,RegQueryValueExA,?IsValid@CxImage@@QBE_NXZ,__set_app_type,mixerGetControlDetailsA,FMOD_Channel_GetWaveData,waveOutWrite,DeregisterEventSource,mmioOpenA,rsaReleaseKeyPair,GdipGetImageWidth,?GetMaxDrives@CMapDrive@@QAEHXZ,RegQueryValueExW,ReleaseMutex,InitializeCriticalSection,PathMatchSpecA,RegQueryValueExW,EnterCriticalSection,_FSOUND_DSP_SetActive@8,MulDiv,LocalFree,InterlockedCompareExchange,mixerOpen,OpenProcessToken,LoadLibraryExW,GdipCloneStringFormat,FindAtomA,BASS_StreamFree,StrStrIW,InitializeCriticalSection,InitializeCriticalSection
4,@System@LoadResString$qqrp20System@TResStringRec,SetMMShellHook,RegOpenKeyExW,TransparentBlt,RegCloseKey,RegOpenKeyExW,CloseThemeData,GetConsoleCP,InternetCrackUrlA,?staticMetaObject@QMediaPlayer@@2UQMetaObject@@B,ResumeThread,_errno,?_Xout_of_range@std@@YAXPBD@Z,timeEndPeriod,WriteConsoleW,libvlc_audio_set_volume,GetProcAddress,_libm_sse2_sqrt_precise,GetOpenFileNameW,InternetReadFileExA,CloseHandle,??0CxImage@@QAE@ABV0@_N11@Z,__p__commode,mixerGetLineControlsA,FMOD_Channel_IsPlaying,waveOutGetNumDevs,RegisterEventSourceA,mmioAscend,wprintf,GdiplusShutdown,??0CSCSICD@@QAE@AAUTDriveInfo@@@Z,RegOpenKeyExW,WaitForSingleObject,VirtualFree,PathMatchSpecW,RegOpenKeyExW,ExitProcess,_FSOUND_GetSurround@4,GetPrivateProfileStringA,HeapDestroy,TerminateThread,mixerGetDevCapsA,RegCloseKey,CreateFileA,GdipSetStringFormatAlign,GetAtomNameA,BASS_ChannelGetPosition,PathIsRootW,VirtualFree,VirtualFree
5,@System@UTF8Encode$qqrx20System@UnicodeString,UnSetMMShellHook,RegCloseKey,_MyHtmlHelpA@16,RegCreateKeyExA,RegCloseKey,IsThemePartDefined,GetConsoleMode,InternetReadFile,??1QMediaPlayer@@UAE@XZ,GetCurrentThreadId,free,?_Syserror_map@std@@YAPBDH@Z,timeBeginPeriod,GetTimeZoneInformation,libvlc_event_attach,LoadLibraryA,_controlfp_s,GetSaveFileNameW,ImageList_LoadImageA,CreateMutexA,??0CxImage@@QAE@K@Z,_strdup,mixerGetLineInfoA,FMOD_Channel_SetPaused,waveOutOpen,ReportEventA,mmioRead,strncat,GdipSaveImageToStream,?LockDoor@CSCSICD@@UAEXH@Z,RegCloseKey,GetLastError,VirtualAlloc,DocumentPropertiesW,RegCloseKey,GetCommandLineA,_FSOUND_GetVersion@0,WritePrivateProfileStringA,HeapAlloc,InitializeCriticalSectionAndSpinCount,mixerGetLineInfoA,RegCreateKeyExA,SetEndOfFile,GdipGetGenericFontFamilySansSerif,GetCommandLineA,BASS_ChannelSetPosition,SHDeleteValueW,VirtualAlloc,VirtualAlloc
6,@System@TInterfacedObject@_Release$qqsv,GetFileVersionInfoSizeA,GetKeyboardType,_ExtractTrackTo@20,RegDeleteKeyA,GetKeyboardType,OpenThemeData,SetFilePointerEx,HttpQueryInfoA,??1QMediaContent@@QAE@XZ,WaitForSingleObject,memcpy,?_Winerror_map@std@@YAPBDH@Z,StrCmpLogicalW,GetCPInfo,libvlc_get_version,LocalFree,_invoke_watson,SetSuspendState,InitCommonControlsEx,CreateProcessA,?DestroyFrames@CxImage@@QAE_NXZ,_adjust_fdiv,timeGetTime,FMOD_Channel_SetPosition,waveOutReset,RegQueryValueExW,mmioWrite,_strlwr,GdipCreateBitmapFromStream,??1CSCSICD@@QAE@XZ,MessageBoxA,CreateMutexW,LocalFree,ClosePrinter,MessageBoxA,GetCommandLineW,_FSOUND_Init@12,GetExitCodeThread,HeapReAlloc,WaitForSingleObject,mixerGetNumDevs,RegDeleteKeyA,GetModuleFileNameW,GdipCreateBitmapFromStream,GetCommandLineW,BASS_ChannelSeconds2Bytes,SHDeleteKeyW,LocalFree,LocalFree
7,@System@TInterfacedObject@_AddRef$qqsv,GetFileVersionInfoA,LoadStringW,RegCloseKey,RegDeleteValueA,LoadStringW,GetThemeSysFont,GetTimeZoneInformation,HttpSendRequestA,?duration@QMediaPlayer@@QBE_JXZ,CreateEventW,_msize,?_Xlength_error@std@@YAXPBD@Z,SHDeleteKeyW,GetDriveTypeW,libvlc_media_new_path,FormatMessageW,__crtSetUnhandledExceptionFilter,GetCurrentThread,ImageList_Destroy,ExitProcess,?Destroy@CxImage@@QAE_NXZ,__setusermatherr,mixerClose,FMOD_Channel_SetVolume,gtk_scrolled_window_new,RegisterWindowMessageW,mmioSetInfo,_strdup,GdipGetImagePaletteSize,?SetInfo@CMapDrive@@QAEXHUTDriveInfo@@@Z,CharNextW,CreateProcessW,LocalAlloc,OpenPrinterW,CharNextW,GetCurrentThreadId,_FSOUND_SetPaused@8,UnmapViewOfFile,HeapFree,GetTickCount,mixerSetControlDetails,RegDeleteValueA,WideCharToMultiByte,GdipBitmapLockBits,GetLastError,BASS_ChannelGetData,PathIsDirectoryEmptyW,LocalAlloc,LocalAlloc
8,@System@TInterfacedObject@QueryInterface$qqsrx5_GUIDpv,VerQueryValueA,MessageBoxA,RegCreateKeyExA,RegEnumKeyExA,MessageBoxA,MiniDumpWriteDump,GetStringTypeW,HttpOpenRequestA,?position@QMediaPlayer@@QBE_JXZ,InterlockedIncrement,_itoa,_unlock,SHAutoComplete,SetEnvironmentVariableA,libvlc_media_player_event_manager,GetCommandLineW,_except_handler4_common,GetVersion,FindNextFileA,FindResourceExA,??1CxMemFile@@UAE@XZ,_initterm,PlaySoundA,FMOD_Channel_Stop,gtk_dialog_new_with_buttons,GetProcessWindowStation,mmioDescend,pow,GdipGetImagePalette,??1CMapDrive@@QAE@XZ,LoadStringW,lstrcatW,GetVersion,GetDefaultPrinterW,LoadStringW,GetLastError,_FSOUND_SetSurround@8,CloseHandle,HeapSize,GetProcessHeap,mciSendCommandA,RegEnumKeyExA,GetFileAttributesW,GdipBitmapUnlockBits,GetModuleHandleA,BASS_StreamCreate,PathIsDirectoryW,GetVersion,GetTickCount
9,@System@TInterfacedObject@NewInstance$qqrv,acmDriverClose,CharNextW,RegOpenKeyExA,RegEnumValueA,CharNextW,SetFilePointer,GetDateFormatW,InternetConnectA,?play@QMediaPlayer@@QAEXXZ,CompareStringW,_ftol,_calloc_crt,GetThemePartSize,GetConsoleMode,libvlc_media_player_get_length,SetCurrentDirectoryW,_onexit,LocalAlloc,FindFirstFileA,FormatMessageA,??0CxMemFile@@QAE@PAEK@Z,__getmainargs,mixerOpen,FMOD_Sound_GetDefaults,gtk_scrolled_window_get_type,GetDesktopWindow,timeBeginPeriod,log10,GdipBitmapLockBits,??0CBaseCD@@QAE@XZ,Sleep,GetModuleFileNameW,GetCurrentThreadId,EnumPrintersW,Sleep,GetModuleHandleA,_FSOUND_Stream_Close@4,CreateFileMappingA,GetProcessHeap,GetSystemInfo,SetupDiDestroyDeviceInfoList,RegEnumValueA,ExpandEnvironmentStringsW,GdipSetInterpolationMode,GetStartupInfoA,BASS_MusicGetOrders,PathFileExistsW,GetCurrentThreadId,QueryPerformanceCounter
